Date : 2023-01-26 23:25:35
Directory : /home/liuchen/项目/mymuduo
Total : 209 files,  -6634 codes, -1438 comments, -1925 blanks, all -9997 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Acceptor.cc                                              | C++                |        -65 |        -14 |        -11 |        -90 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Acceptor.h                                               | C++                |        -33 |        -14 |        -17 |        -64 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Buffer.cc                                                | C++                |        -35 |        -14 |        -10 |        -59 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Buffer.h                                                 | C++                |       -296 |        -61 |        -66 |       -423 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Callbacks.h                                              | C++                |        -51 |        -13 |        -19 |        -83 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Channel.cc                                               | C++                |       -121 |         -6 |        -20 |       -147 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Channel.h                                                | C++                |        -71 |        -19 |        -24 |       -114 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Connector.cc                                             | C++                |       -187 |        -13 |        -27 |       -227 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Connector.h                                              | C++                |        -50 |         -8 |        -17 |        -75 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Endian.h                                                 | C++                |        -42 |        -10 |        -14 |        -66 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoop.cc                                             | C++                |       -229 |        -12 |        -38 |       -279 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoop.h                                              | C++                |        -81 |        -54 |        -32 |       -167 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoopThread.cc                                       | C++                |        -54 |         -9 |        -15 |        -78 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoopThread.h                                        | C++                |        -30 |         -8 |        -13 |        -51 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoopThreadPool.cc                                   | C++                |        -74 |         -8 |        -16 |        -98 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/EventLoopThreadPool.h                                    | C++                |        -40 |        -11 |        -19 |        -70 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/InetAddress.cc                                           | C++                |       -104 |        -25 |        -21 |       -150 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/InetAddress.h                                            | C++                |        -44 |        -24 |        -19 |        -87 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Poller.cc                                                | C++                |        -15 |         -6 |         -9 |        -30 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Poller.h                                                 | C++                |        -35 |        -18 |        -19 |        -72 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Socket.cc                                                | C++                |       -102 |         -9 |        -18 |       -129 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Socket.h                                                 | C++                |        -33 |        -37 |        -20 |        -90 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/SocketsOps.cc                                            | C++                |       -266 |        -12 |        -39 |       -317 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/SocketsOps.h                                             | C++                |        -40 |        -11 |        -14 |        -65 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpClient.cc                                             | C++                |       -134 |        -23 |        -25 |       -182 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpClient.h                                              | C++                |        -54 |        -19 |        -18 |        -91 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpConnection.cc                                         | C++                |       -345 |        -44 |        -41 |       -430 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpConnection.h                                          | C++                |       -104 |        -30 |        -28 |       -162 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpServer.cc                                             | C++                |        -93 |         -9 |        -17 |       -119 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TcpServer.h                                              | C++                |        -63 |        -38 |        -20 |       -121 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Timer.cc                                                 | C++                |        -15 |         -6 |         -6 |        -27 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/Timer.h                                                  | C++                |        -39 |        -11 |        -14 |        -64 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TimerId.h                                                | C++                |        -29 |        -12 |        -13 |        -54 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TimerQueue.cc                                            | C++                |       -216 |        -11 |        -34 |       -261 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/TimerQueue.h                                             | C++                |        -46 |        -24 |        -17 |        -87 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/ZlibStream.h                                             | C++                |       -119 |         -6 |        -21 |       -146 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/boilerplate.cc                                           | C++                |         -3 |         -7 |         -6 |        -16 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/boilerplate.h                                            | C++                |        -15 |         -9 |         -9 |        -33 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpContext.cc                                      | C++                |       -102 |        -11 |         -6 |       -119 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpContext.h                                       | C++                |        -44 |        -10 |        -19 |        -73 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpRequest.h                                       | C++                |       -154 |         -8 |        -26 |       -188 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpResponse.cc                                     | C++                |        -32 |         -7 |         -9 |        -48 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpResponse.h                                      | C++                |        -51 |        -10 |        -19 |        -80 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpServer.cc                                       | C++                |        -78 |         -7 |        -16 |       -101 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/HttpServer.h                                        | C++                |        -40 |        -13 |        -16 |        -69 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/tests/HttpRequest_unittest.cc                       | C++                |        -69 |         -1 |        -10 |        -80 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/http/tests/HttpServer_test.cc                            | C++                |       -143 |          0 |         -8 |       -151 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/Inspector.cc                                     | C++                |       -345 |        -17 |        -22 |       -384 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/Inspector.h                                      | C++                |        -43 |        -11 |        -14 |        -68 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/PerformanceInspector.cc                          | C++                |        -82 |         -8 |        -17 |       -107 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/PerformanceInspector.h                           | C++                |        -23 |         -8 |        -10 |        -41 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/ProcessInspector.cc                              | C++                |       -190 |        -15 |        -35 |       -240 |
| /home/liuchen/copy/muduo-cpp11/muduo/net/inspect/ProcessInspector.h                               | C++                |        -21 |         -8 |        -10 |        -39 |
